id,name,measurement_type,corresponding_sensor,initial_wavelength,gauge_factor,thermo_optic_coefficient,location
A1,EW01_Str_bot01,str,J1,,,,
A2,EW01_Str_bot02,str,J1,,,,
A3,EW01_Str_bot03,str,J1,,,,
A4,EW01_Str_bot04,str,J1,,,,
A5,EW01_Str_bot05,str,J1,,,,
A6,EW01_Str_bot06,str,J1,,,,
A7,EW01_Str_bot07,str,J1,,,,
A8,EW01_Str_bot08,str,J1,,,,
A9,EW01_Str_bot09,str,J1,,,,
A10,EW01_Str_bot10,str,J1,,,,
A11,EW01_Str_bot11,str,J1,,,,
A12,EW01_Str_bot12,str,J1,,,,
A13,EW01_Str_bot13,str,J1,,,,
A14,EW01_Str_bot14,str,J1,,,,
A15,EW01_Str_bot15,str,J1,,,,
A16,EW01_Str_bot16,str,J1,,,,
A17,EW01_Str_bot17,str,J1,,,,
A18,EW01_Str_bot18,str,J1,,,,
A19,EW01_Str_bot19,str,J1,,,,
A20,EW01_Str_bot20,str,J1,,,,
B1,EW01_Str_top01,str,J2,,,,
B2,EW01_Str_top02,str,J2,,,,
B3,EW01_Str_top03,str,J2,,,,
B4,EW01_Str_top04,str,J2,,,,
B5,EW01_Str_top05,str,J2,,,,
B6,EW01_Str_top06,str,J2,,,,
B7,EW01_Str_top07,str,J2,,,,
B8,EW01_Str_top08,str,J3,,,,
B9,EW01_Str_top09,str,J3,,,,
B10,EW01_Str_top10,str,J3,,,,
B11,EW01_Str_top11,str,J3,,,,
B12,EW01_Str_top12,str,J3,,,,
B13,EW01_Str_top13,str,J3,,,,
B14,EW01_Str_top14,str,J4,,,,
B15,EW01_Str_top15,str,J4,,,,
B16,EW01_Str_top16,str,J4,,,,
B17,EW01_Str_top17,str,J4,,,,
B18,EW01_Str_top18,str,J4,,,,
B19,EW01_Str_top19,str,J4,,,,
B20,EW01_Str_top20,str,J4,,,,
C1,NS01_Str_bot14,str,J1,,,,
C2,NS01_Str_bot13,str,J2,,,,
C3,NS01_Str_bot12,str,J3,,,,
C4,NS01_Str_bot11,str,J4,,,,
C5,NS01_Str_bot10,str,J5,,,,
C6,NS01_Str_bot9,str,J6,,,,
C7,NS01_Str_bot8,str,J7,,,,
C8,NS01_Str_bot7,str,J8,,,,
C9,NS01_Str_bot6,str,J9,,,,
C10,NS01_Str_bot5,str,J10,,,,
C11,NS01_Str_bot4,str,J11,,,,
C12,NS01_Str_bot3,str,J12,,,,
C13,NS01_Str_bot2,str,J13,,,,
C14,NS01_Str_bot1,str,J14,,,,
C15,NN01_Str_wal01,str,C19,,,,
C16,NN01_Str_wal02,str,C19,,,,
C17,NN01_Str_wal04,str,C20,,,,
C18,NN01_Str_wal03,str,C20,,,,
C19,NN01_Tmp_wal05,tmp,,,,,
C20,NN01_Tmp_wal06,tmp,,,,,
D1,SS01_Tmp_wal06,tmp,,,,,
D2,SS01_Tmp_wal05,tmp,,,,,
D3,SS01_Tmp_wal03,tmp,D1,,,,
D4,SS01_Tmp_wal04,tmp,D1,,,,
D5,SS01_Tmp_wal02,tmp,D2,,,,
D6,SS01_Tmp_wal01,tmp,D2,,,,
D7,NS01_Str_top14,str,J3,,,,
D8,NS01_Str_top13,str,J3,,,,
D9,NS01_Str_top12,str,J3,,,,
D10,NS01_Str_top11,str,J3,,,,
D11,NS01_Str_top10,str,J3,,,,
D12,NS01_Str_top9,str,J3,,,,
D13,NS01_Str_top8,str,J3,,,,
D14,NS01_Str_top7,str,J3,,,,
D15,NS01_Str_top6,str,J3,,,,
D16,NS01_Str_top5,str,J3,,,,
D17,NS01_Str_top4,str,J3,,,,
D18,NS01_Str_top3,str,J3,,,,
D19,NS01_Str_top2,str,J3,,,,
D20,NS01_Str_top1,str,J3,,,,
E1,WW01_Str_wal01,str,E5,,,,
E2,WW01_Str_wal02,str,E5,,,,
E3,WW01_Str_wal04,str,E6,,,,
E4,WW01_Str_wal03,str,E6,,,,
E5,WW01_Tmp_wal05,tmp,,,,,
E6,WW01_Tmp_wal06,tmp,,,,,
F1,EE01_Str_wal01,str,F5,,,,
F2,EE01_Str_wal02,str,F5,,,,
F3,EE01_Str_wal04,str,F6,,,,
F4,EE01_Str_wal03,str,F6,,,,
F5,EE01_Tmp_wal05,tmp,,,,,
F6,EE01_Tmp_wal06,tmp,,,,,
G1,WW01_Str_thk01,str,G5,,,,
G2,WW01_Str_thk02,str,G5,,,,
G3,WW01_Str_thk04,str,G6,,,,
G4,WW01_Str_thk03,str,G6,,,,
G5,WW01_Tmp_thk05,tmp,,,,,
G6,WW01_Tmp_thk06,tmp,,,,,
H1,EE01_Str_thk01,str,H5,,,,
H2,EE01_Str_thk02,str,H5,,,,
H3,EE01_Str_thk04,str,H6,,,,
H4,EE01_Str_thk03,str,H6,,,,
H5,EE01_Tmp_thk05,tmp,,,,,
H6,EE01_Tmp_thk06,tmp,,,,,
I1,SS01_Str_thk01,str,I5,,,,
I2,SS01_Str_thk02,str,I5,,,,
I3,SS01_Str_thk04,str,I6,,,,
I4,SS01_Str_thk03,str,I6,,,,
I5,SS01_Tmp_thk05,tmp,,,,,
I6,SS01_Tmp_thk06,tmp,,,,,
J1,EW01_Tmp_bot03,tmp,,,,,
J2,EW01_Tmp_top01,tmp,,,,,
J3,EW01_Tmp_top02,tmp,,,,,
J4,EW01_Tmp_top03,tmp,,,,,
