id,name,measurement_type,corresponding_sensor,initial_wavelength,gauge_factor,thermo_optic_coefficient,location
L1,,tmp,,,,,
L2,,str,L1,,,,
L3,,str,L1,,,,
L4,,tmp,,,,,
L5,,str,L4,,,,
L6,,str,L4,,,,
L7,,tmp,,,,,
L8,,str,L7,,,,
L9,,str,L7,,,,
L10,,tmp,,,,,
L11,,str,L10,,,,
L12,,tmp,,,,,
L13,,str,L12,,,,
L14,,tmp,,,,,
L15,,str,L14,,,,
L16,,str,L10,,,,
L17,,str,L12,,,,
L18,,str,L14,,,,
M1,,tmp,,,,,
M2,,str,M1,,,,
M3,,str,M1,,,,
M4,,tmp,,,,,
M5,,str,M4,,,,
M6,,str,M4,,,,
M7,,tmp,,,,,
M8,,str,M7,,,,
M9,,str,M7,,,,
M10,,tmp,,,,,
M11,,str,M10,,,,
M12,,tmp,,,,,
M13,,str,M12,,,,
M14,,tmp,,,,,
M15,,str,M14,,,,
M16,,str,M10,,,,
M17,,str,M12,,,,
M18,,str,M14,,,,
N1,,tmp,,,,,
N2,,str,N1,,,,
N3,,str,N1,,,,
N4,,tmp,,,,,
N5,,str,N4,,,,
N6,,str,N4,,,,
N7,,tmp,,,,,
N8,,str,N7,,,,
N9,,str,N7,,,,
O1,,tmp,,,,,
O2,,str,O1,,,,
O3,,str,O1,,,,
O4,,tmp,,,,,
O5,,str,O4,,,,
O6,,tmp,,,,,
O7,,str,O6,,,,
O8,,str,O4,,,,
O9,,str,O6,,,,
P1,,tmp,,,,,
P2,,str,P1,,,,
P3,,tmp,,,,,
P4,,str,P3,,,,
P5,,tmp,,,,,
P6,,str,P5,,,,
P7,,tmp,,,,,
P8,,str,P7,,,,
P9,,tmp,,,,,
P10,,str,P9,,,,
P11,,tmp,,,,,
P12,,str,P11,,,,
