id,name,measurement_type,corresponding_sensor,initial_wavelength,gauge_factor,thermo_optic_coefficient,location
A1,EW01_Str_bot01,str,P3,,,,
A2,EW01_Str_bot02,str,P3,,,,
A3,EW01_Str_bot03,str,P3,,,,
A4,EW01_Str_bot04,str,P3,,,,
A5,EW01_Str_bot05,str,P3,,,,
A6,EW01_Str_bot06,str,P3,,,,
A7,EW01_Str_bot07,str,O3,,,,
A8,EW01_Str_bot08,str,O3,,,,
A9,EW01_Str_bot09,str,O3,,,,
A10,EW01_Str_bot10,str,O3,,,,
A11,EW01_Str_bot11,str,O3,,,,
A12,EW01_Str_bot12,str,O3,,,,
A13,EW01_Str_bot13,str,O3,,,,
A14,EW01_Str_bot14,str,O3,,,,
A15,EW01_Str_bot15,str,N3,,,,
A16,EW01_Str_bot16,str,N3,,,,
A17,EW01_Str_bot17,str,N3,,,,
A18,EW01_Str_bot18,str,N3,,,,
A19,EW01_Str_bot19,str,N3,,,,
A20,EW01_Str_bot20,str,N3,,,,
B1,EW01_Str_top01,str,P18,,,,
B2,EW01_Str_top02,str,P18,,,,
B3,EW01_Str_top03,str,P18,,,,
B4,EW01_Str_top04,str,P18,,,,
B5,EW01_Str_top05,str,P18,,,,
B6,EW01_Str_top06,str,P18,,,,
B7,EW01_Str_top07,str,O18,,,,
B8,EW01_Str_top08,str,O18,,,,
B9,EW01_Str_top09,str,O18,,,,
B10,EW01_Str_top10,str,O18,,,,
B11,EW01_Str_top11,str,O18,,,,
B12,EW01_Str_top12,str,O18,,,,
B13,EW01_Str_top13,str,O18,,,,
B14,EW01_Str_top14,str,O18,,,,
B15,EW01_Str_top15,str,N18,,,,
B16,EW01_Str_top16,str,N18,,,,
B17,EW01_Str_top17,str,N18,,,,
B18,EW01_Str_top18,str,N18,,,,
B19,EW01_Str_top19,str,N18,,,,
B20,EW01_Str_top20,str,N18,,,,
C1,EW02_Str_bot01,str,P5,,,,
C2,EW02_Str_bot02,str,P5,,,,
C3,EW02_Str_bot03,str,P5,,,,
C4,EW02_Str_bot04,str,P5,,,,
C5,EW02_Str_bot05,str,P5,,,,
C6,EW02_Str_bot06,str,P5,,,,
C7,EW02_Str_bot07,str,O5,,,,
C8,EW02_Str_bot08,str,O5,,,,
C9,EW02_Str_bot09,str,O5,,,,
C10,EW02_Str_bot10,str,O5,,,,
C11,EW02_Str_bot11,str,O5,,,,
C12,EW02_Str_bot12,str,O5,,,,
C13,EW02_Str_bot13,str,O5,,,,
C14,EW02_Str_bot14,str,O5,,,,
C15,EW02_Str_bot15,str,N5,,,,
C16,EW02_Str_bot16,str,N5,,,,
C17,EW02_Str_bot17,str,N5,,,,
C18,EW02_Str_bot18,str,N5,,,,
C19,EW02_Str_bot19,str,N5,,,,
C20,EW02_Str_bot20,str,N5,,,,
D1,EW02_Str_top01,str,P16,,,,
D2,EW02_Str_top02,str,P16,,,,
D3,EW02_Str_top03,str,P16,,,,
D4,EW02_Str_top04,str,P16,,,,
D5,EW02_Str_top05,str,P16,,,,
D6,EW02_Str_top06,str,P16,,,,
D7,EW02_Str_top07,str,O16,,,,
D8,EW02_Str_top08,str,O16,,,,
D9,EW02_Str_top09,str,O16,,,,
D10,EW02_Str_top10,str,O16,,,,
D11,EW02_Str_top11,str,O16,,,,
D12,EW02_Str_top12,str,O16,,,,
D13,EW02_Str_top13,str,O16,,,,
D14,EW02_Str_top14,str,O16,,,,
D15,EW02_Str_top15,str,N16,,,,
D16,EW02_Str_top16,str,N16,,,,
D17,EW02_Str_top17,str,N16,,,,
D18,EW02_Str_top18,str,N16,,,,
D19,EW02_Str_top19,str,N16,,,,
D20,EW02_Str_top20,str,N16,,,,
E1,EW03_Str_bot01,str,P7,,,,
E2,EW03_Str_bot02,str,P7,,,,
E3,EW03_Str_bot03,str,P7,,,,
E4,EW03_Str_bot04,str,P7,,,,
E5,EW03_Str_bot05,str,P7,,,,
E6,EW03_Str_bot06,str,P7,,,,
E7,EW03_Str_bot07,str,O7,,,,
E8,EW03_Str_bot08,str,O7,,,,
E9,EW03_Str_bot09,str,O7,,,,
E10,EW03_Str_bot10,str,O7,,,,
E11,EW03_Str_bot11,str,O7,,,,
E12,EW03_Str_bot12,str,O7,,,,
E13,EW03_Str_bot13,str,O7,,,,
E14,EW03_Str_bot14,str,O7,,,,
E15,EW03_Str_bot15,str,N7,,,,
E16,EW03_Str_bot16,str,N7,,,,
E17,EW03_Str_bot17,str,N7,,,,
E18,EW03_Str_bot18,str,N7,,,,
E19,EW03_Str_bot19,str,N7,,,,
E20,EW03_Str_bot20,str,N7,,,,
F1,EW03_Str_top01,str,P14,,,,
F2,EW03_Str_top02,str,P14,,,,
F3,EW03_Str_top03,str,P14,,,,
F4,EW03_Str_top04,str,P14,,,,
F5,EW03_Str_top05,str,P14,,,,
F6,EW03_Str_top06,str,P14,,,,
F7,EW03_Str_top07,str,O14,,,,
F8,EW03_Str_top08,str,O14,,,,
F9,EW03_Str_top09,str,O14,,,,
F10,EW03_Str_top10,str,O14,,,,
F11,EW03_Str_top11,str,O14,,,,
F12,EW03_Str_top12,str,O14,,,,
F13,EW03_Str_top13,str,O14,,,,
F14,EW03_Str_top14,str,O14,,,,
F15,EW03_Str_top15,str,N14,,,,
F16,EW03_Str_top16,str,N14,,,,
F17,EW03_Str_top17,str,N14,,,,
F18,EW03_Str_top18,str,N14,,,,
F19,EW03_Str_top19,str,N14,,,,
F20,EW03_Str_top20,str,N14,,,,
G1,NS01_Str_bot01,str,N1,,,,
G2,NS01_Str_bot02,str,N2,,,,
G3,NS01_Str_bot03,str,N3,,,,
G4,NS01_Str_bot04,str,N4,,,,
